institutions_1                                                                          ,countries_1           ,institutions_2                                                      ,countries_2        , institutions_3                                    ,countries_3     ,institutions_4                                                     ,countries_4 ,institutions_5       ,countries_5 ,
University of Zagreb                                                                    ,Croatia               ,University of Zagreb                                                ,Croatia            ,                                                   ,                ,                                                                   ,            ,                     ,            ,
University of London                                                                    ,England               ,University of Leipzig / Stellenbosch University                     ,Germany / South Afr,                                                   ,                ,                                                                   ,            ,                     ,            ,
Universidade Estadual Paulista                                                          ,Brazil                ,Universidade Estadual Paulista                                      ,Brazil             , Universidade Estadual Paulista                    ,Brazil          ,                                                                   ,            ,                     ,            ,
Eldarion                                                                                ,USA                   ,                                                                    ,                   ,                                                   ,                ,                                                                   ,            ,                     ,            ,
University of the Pacific                                                               ,USA                   ,                                                                    ,                   ,                                                   ,                ,                                                                   ,            ,                     ,            ,
British Library                                                                         ,England               ,British Library                                                     ,England            ,                                                   ,                ,                                                                   ,            ,                     ,            ,
University of London                                                                    ,England               ,King's College London                                               ,England            , University of London                              ,England         ,University of Leiden                                               ,Netherlands ,                     ,            ,
"Ain Shams University, Cairo"                                                           ,Egypt                 ,"Royal Holloway University, London"                                 ,England            , University of Lancaster                           ,England         ,                                                                   ,            ,                     ,            ,
University of Amsterdam / University of Leiden                                          ,Netherlands           ,Cyprus Institute / University of Ghent                              ,Cyprus/Belgium     , University of London                              ,England         ,                                                                   ,            ,                     ,            ,
University of Göteborg                                                                  ,Sweden                ,"Institute for the Study of the Ancient World, New York University" ,USA                , University of London                              ,England         ,                                                                   ,            ,                     ,            ,
University of London                                                                    ,England               ,Open University                                                     ,England            , École polytechnique fédérale de Lausanne          ,Switzerland     ,                                                                   ,            ,                     ,            ,
University of London                                                                    ,England               ,Wikimedia UK                                                        ,England            , University of Exeter                              ,England         ,                                                                   ,            ,                     ,            ,
Furman University                                                                       ,USA                   ,"University of Massachusetts, Amherst"                              ,USA                ,                                                   ,                ,                                                                   ,            ,                     ,            ,
King's College London                                                                   ,England               ,British Library                                                     ,England            ,                                                   ,                ,                                                                   ,            ,                     ,            ,
University of London                                                                    ,England               ,Alan Turing Institute / University of Cambridge                     ,England            , University College London                         ,England         ,                                                                   ,            ,                     ,            ,
University of London                                                                    ,England               ,University of London                                                ,England            , University of Hamburg                             ,Germany         ,Wikimedia UK                                                       ,England     ,                     ,            ,
University of London                                                                    ,England               ,University of Exeter                                                ,England            ,                                                   ,                ,                                                                   ,            ,                     ,            ,
Open University / The Watercolour World                                                 ,England               ,École polytechnique fédérale de Lausanne                            ,Switzerland        ,                                                   ,                ,                                                                   ,            ,                     ,            ,
University of London                                                                    ,England               ,University of Köln                                                  ,Germany            , University of Nottingham                          ,England         ,                                                                   ,            ,                     ,            ,
University of Nebraska-Lincoln                                                          ,USA                   ,University of Helsinki                                              ,Finland            ,                                                   ,                ,                                                                   ,            ,                     ,            ,
Furman University                                                                       ,USA                   ,University of Leipzig                                               ,Germany            ,                                                   ,                ,                                                                   ,            ,                     ,            ,
"Università Cattolica del Sacro Cuore, Milan"                                           ,Italy                 ,Katholieke Universiteit Leuven                                      ,Belgium            ,                                                   ,                ,                                                                   ,            ,                     ,            ,
