n_total,acad_year,season,n_in_acad_year,date,year,title,contributors_1,institutions_1,contributors_2,institutions_2,contributors_3,institutions_3,contributors_4,institutions_4,contributors_5,institutions_5,contributors_6,institutions_6,contributors_7,institutions_7,themes_1,themes_2,themes_3,themes_4,themes_5,themes_6,class outline
202,2020-2021,Summer,32,22/07/2021,2021,Beyond Classics: The Turin Papyrus Online Platform (TPOP),Susanne Töpfer,Fondazione Museo delle Antichità Egizie di Torino,Franziska Naether,University of Leipzig,,,,,,,,,,,digitisation,database,,,,,
203,2021-2022,Fall,1,07/10/2021,2021,Philological Search Tools,Gabriel Bodard,University of London,Peter Heslin,Durham University,Alek Keersmaekers,Katholieke Universiteit Leuven,James Tauber,Eldarion,,,,,,,,text mining,digital archives and library,,,,
204,2021-2022,Fall,2,14/10/2021,2021,Text Encoding I: EpiDoc,Gabriel Bodard,University of London,Polina Yordanova,University of Helsinki,,,,,,,,,,,XML-TEI,annotation,epigraphy,text encoding,paleography,,
205,2021-2022,Fall,3,21/10/2021,2021,Text Analysis with Voyant,Aurélien Berra,Paris Nanterre University,Gabriel Bodard,University of London,Christopher Ohge,University of London,,,,,,,,,text mining,,,,,,
206,2021-2022,Fall,4,28/10/2021,2021,Text Encoding II: Objects,Gabriel Bodard,University of London,Scott DiGiulio,Mississippi State University,,,,,,,,,,,XML-TEI,objects and artefacts,archaeology,annotation,,,
207,2021-2022,Fall,5,04/11/2021,2021,Research with Treebanks,Nicole Iu,University of London,Francesco Mambrini,University of Milan,Marja Vierros,University of Helsinki,,,,,,,,,text analysis,epigraphy,linguistics,paleography,,,
208,2021-2022,Fall,6,11/11/2021,2021,cancelled,,,,,,,,,,,,,,,,,,,,,
209,2021-2022,Fall,7,18/11/2021,2021,Translation and Text Alignment,Chiara Palladino,Furman University,Farnoosh Shamsian,University of Leipzig,Maia Shukhosvili,"Tbilisi State University, Georgia",,,,,,,,,digital humanities history,translation,,,,,
210,2021-2022,Fall,8,25/11/2021,2021,Text and Web Annotation,Monica Berti,University of Leipzig,Valeria Vitale,Alan Turing Institute,,,,,,,,,,,annotation,linked open data,semantic Web,,,,
211,2021-2022,Fall,9,02/12/2021,2021,Computational Linguistics,Alek Keersmaekers,Katholieke Universiteit Leuven,Martina Astrid Rodda,University of Oxford,,,,,,,,,,,linguistics,text analysis,,text mining,,,
212,2021-2022,Spring,10,13/01/2022,2022,Crowdsourcing and cultural heritage,Gabriel Bodard,University of London,Richard Nevell,Wikimedia UK,John Pearce,King's College London,,,,,,,,,crowdsourcing,linked open data,cultural studies,,,,
213,2021-2022,Spring,11,20/01/2022,2022,"Museum data, access and metadata",Paula Granados García,British Museum,Susanne Töpfer,Museo Egizio Torino,,,,,,,,,,,objects and artefacts,"GLAM: galleries,libraries,archives,museums",metadata,copyright license and open access,visualisation,,
214,2021-2022,Spring,12,27/01/2022,2022,3D imaging in museum research,Gabriel Bodard,University of London,Daniel O'Flynn,British Museum,Dan Pett,"Fitzwilliam Museum, University of Cambridge",,,,,,,,,digitisation,"GLAM: galleries,libraries,archives,museums",objects and artefacts,archaeology,visualisation,,
215,2021-2022,Spring,13,03/02/2022,2022,Digital heritage collections,Paula Granados García,British Museum,Rhiannon Lewis,University of London / Science Museum Group,Stella Wisdom,British Library,,,,,,,,,objects and artefacts,"GLAM: galleries,libraries,archives,museums",copyright license and open access,visualisation,cultural studies,,
216,2021-2022,Spring,14,10/02/2022,2022,3D modelling and reconstruction,Orly Lewis,Hebrew University of Jerusalem,Tosca Lynch,University of Oxford,Gabriel Bodard,University of London,,,,,,,,,digitisation,visualisation,cultural studies,,,,
217,2021-2022,Spring,15,17/02/2022,2022,Linked geographical data and annotation,Paula Granados García,British Museum,Valeria Vitale,Alan Turing Institute,,,,,,,,,,,linked open data,maps and mapping,semantic Web,annotation,,,
218,2021-2022,Spring,16,24/02/2022,2022,Reuse of heritage data and open licenses,Douglas McCarthy,Europeana Foundation,Andrea Wallace,University of Exeter,,,,,,,,,,,"GLAM: galleries,libraries,archives,museums",copyright license and open access,,,,,
219,2021-2022,Spring,17,03/03/2022,2022,Geographic Information Systems,Sarah Murray,University of Toronto,Rebecca Seifried,"University of Massachusetts,Amherst",,,,,,,,,,,geography,visualisation,cultural studies,archaeology,maps and mapping,,
220,2021-2022,Spring,18,10/03/2022,2022,"Archaeology, VR and other gaming technologies",Coré Ferrer-Alcantud,Universitat Jaume I,Andrew Reinhard,New York University,,,,,,,,,,,virtual and augmented reality,digitisation,visualisation,archaeology,,,
221,2022-2023,Fall,1,03/11/2022,2022,"Learning Greek and Latin with Treebanks",Vanessa Gorman,University of Nebraska Lincoln,Matthew Harrington,Tufts University,,,,,,,,,,,treebanks,annotation,Arethusa,,,,
222,2022-2023,Fall,2,10/11/2022,2022,"Contributing Apparatus corrections to Papyri.info",Gabriel Bodard,University of London,Lucia Vannini,University of London,Marja Vierros,University of Helsinki,,,,,,,,,,,Papyri.info,ancient Greek papyrological texts,,,
223,2022-2023,Fall,3,16/11/2022,2022,"Editing MediaWiki and the Digital Classicist Wiki",Gabriel Bodard,University of London,Rosa Lorito,"Liceo Classico G. Pantaleo - Castelvetrano (TP)",Paolo Monella,La Sapienza University of Rome,,,,,,,,,,,wiki-editing,MediaWiki software,The Digital Classicist Wiki,,
224,2022-2023,Fall,4,22/11/2022,2022,"Contributing to Ancient Linguistic Annotation Projects",Francesca Dell’Oro,Université de Neuchâtel,Francesco Mambrini,Università Cattolica del Sacro Cuore-Milan,,,,,,,,,,,linguistics,annotation,Universal Dependencies(UD),WoPoss Project,,,
225,2022-2023,Fall,5,08/12/2022,2022,"Using and Editing Wikidata",Monica Berti,University of Leipzig,Shani Evenstein Sigalov,Tel Aviv University,University of London,,,,,,,,,,,,Wikidata,Wikipedia,Data Extraction & Visualization,,
