n_total,season,n_in_season,date,title,themes_1,themes_2,themes_3,discipline_1,discipline_2,method_1,method_2,class outline
1,NA,1,07/04/2015,Introduction to the Course,,,,,,,,
2,NA,2,14/04/2015,"Ancient Named Entities in the Digital Age [Introduction to onomastics, prosopography, and geography]",,,,geography,history,named entity recognition,,https://docs.google.com/document/d/1cPfOKTnGc5Mhu7UyA3LEdh5i990vpV0Fg1X23JS9vqc/edit?pli=1
3,NA,3,21/04/2015,"The Big Families [Examples of marked-up inscriptions, names, families, locations]",,,,geography,history,named entity recognition,georeferencing,https://docs.google.com/document/d/1cPfOKTnGc5Mhu7UyA3LEdh5i990vpV0Fg1X23JS9vqc/edit?pli=1
4,NA,4,28/04/2015,"Colonies and politics [Smith’s Dictionaries (translate and annotate entries), updating Wikipedia entries, SNAP ontology]",,,,philology,translation,annotating,defining,https://docs.google.com/document/d/1cPfOKTnGc5Mhu7UyA3LEdh5i990vpV0Fg1X23JS9vqc/edit?pli=1
5,NA,5,05/05/2015,Who are the actors? Study in the language of Thuc. 1.89-118,,,,literature,linguistics,sentiment analysis,topic modeling,https://docs.google.com/document/d/1cPfOKTnGc5Mhu7UyA3LEdh5i990vpV0Fg1X23JS9vqc/edit?pli=1
6,NA,6,12/05/2015,Thucydides and the revolt of Thasos (common session from Thasos) [Source analysis on Thasos],,,,literature,anthropology,sentiment analysis,collating,https://docs.google.com/document/d/1cPfOKTnGc5Mhu7UyA3LEdh5i990vpV0Fg1X23JS9vqc/edit?pli=1
7,NA,7,19/05/2015,What does Thucydides say about Thasos in his book? Can we see ruins that can be linked with the text? Thasian walls (common session from Thasos) [Funerary monuments (list of casualties) linking with literary sources],,,,literature,anthropology,creating,network analysis,https://docs.google.com/document/d/1cPfOKTnGc5Mhu7UyA3LEdh5i990vpV0Fg1X23JS9vqc/edit?pli=1
8,NA,8,26/05/2015,The revolt of Samos in the ancient sources [Non verbal objects],,,,archaeology,anthropology,data visualization,,https://docs.google.com/document/d/1cPfOKTnGc5Mhu7UyA3LEdh5i990vpV0Fg1X23JS9vqc/edit?pli=1
9,NA,9,02/06/2015,"Thucydides and Thrace: linking texts, objects, and places [Annotating inscriptions with EpiDoc, translating inscriptions through EAGLE Europeana, annotating inscriptions in the Louvre, coins]",,,,literature,translation,data visualization,network analysis,https://docs.google.com/document/d/1cPfOKTnGc5Mhu7UyA3LEdh5i990vpV0Fg1X23JS9vqc/edit?pli=1
10,NA,10,09/06/2015,Keywords of war? Follow the words in Thucydides [Morphological annotations],,,,literature,linguistics,topic modeling,,https://docs.google.com/document/d/1cPfOKTnGc5Mhu7UyA3LEdh5i990vpV0Fg1X23JS9vqc/edit?pli=1
